Cycle=1_Fc=1_X	Cycle=1_Fc=1_Y	Cycle=1_Fc=2_X	Cycle=1_Fc=2_Y
773	21535.3	773	21235
774	21535.3	774	21235
775	21535.3	775	21235
776	21535.3	776	21235
777	21535.3	777	21235
778	21535.3	778	21235
779	21535.3	779	21235.1
780	21535.3	780	21235.1
781	21535.3	781	21235.1
782	21535.3	782	21235.1
783	21535.3	783	21235.1
784	21535.3	784	21235.2
785	21535.3	785	21235.2
786	21535.3	786	21235.2
787	21535.3	787	21235.2
788	21535.3	788	21235.2
789	21535.4	789	21235.2
790	21535.4	790	21235.2
791	21535.4	791	21235.2
792	21535.4	792	21235.2
793	21535.3	793	21235.2
794	21535.4	794	21235.2
795	21535.3	795	21235.2
796	21535.3	796	21235.3
797	21535.3	797	21235.3
798	21535.3	798	21235.3
799	21535.3	799	21235.3
800	21535.4	800	21235.3
801	21535.3	801	21235.3
802	21535.3	802	21235.3
803	21535.3	803	21235.3
804	21535.3	804	21235.3
805	21535.3	805	21235.3
806	21535.3	806	21235.3
807	21535.3	807	21235.3
808	21535.3	808	21235.3
809	21535.3	809	21235.3
810	21535.3	810	21235.3
811	21535.3	811	21235.4
812	21535.3	812	21235.4
813	21535.3	813	21235.4
814	21535.3	814	21235.4
815	21535.3	815	21235.4
816	21535.3	816	21235.4
817	21535.3	817	21235.4
818	21535.3	818	21235.4
819	21535.2	819	21235.4
820	21535.2	820	21235.5
821	21535.2	821	21235.5
822	21535.2	822	21235.5
823	21535.2	823	21235.5
824	21535.2	824	21235.5
825	21535.2	825	21235.5
826	21535.2	826	21235.5
827	21535.2	827	21235.6
828	21535.2	828	21235.6
829	21535.2	829	21235.6
830	21535.2	830	21235.6
831	21535.2	831	21235.6
832	21535.2	832	21235.6
833	21535.2	833	21235.6
834	21535.2	834	21235.6
835	21535.2	835	21235.6
836	21535.2	836	21235.6
837	21535.2	837	21235.6
838	21535.2	838	21235.6
839	21535.2	839	21235.6
840	21535.2	840	21235.7
841	21535.2	841	21235.7
842	21535.3	842	21235.7
843	21535.3	843	21235.7
844	21535.3	844	21235.7
845	21535.3	845	21235.8
846	21535.3	846	21235.8
847	21535.3	847	21235.8
848	21535.3	848	21235.8
849	21535.3	849	21235.8
850	21535.3	850	21235.8
851	21535.3	851	21235.8
852	21535.2	852	21235.8
853	21535.2	853	21235.8
854	21535.2	854	21235.8
855	21535.2	855	21235.8
856	21535.2	856	21235.8
857	21535.2	857	21235.8
858	21535.2	858	21235.9
859	21535.2	859	21235.9
860	21535.2	860	21235.9
861	21535.2	861	21235.9
862	21535.2	862	21235.9
863	21535.2	863	21235.9
864	21535.2	864	21235.9
865	21535.2	865	21235.9
866	21535.2	866	21235.9
867	21535.2	867	21235.9
868	21535.2	868	21235.9
869	21535.2	869	21235.9
870	21535.2	870	21235.9
871	21535.2	871	21235.9
872	21535.2	872	21236
873	21535.2	873	21236
874	21535.2	874	21236
875	21535.2	875	21236
876	21535.2	876	21236.1
877	21535.3	877	21236.1
878	21535.3	878	21236.1
879	21535.3	879	21236.1
880	21535.3	880	21236.2
881	21535.3	881	21236.2
882	21535.3	882	21236.2
883	21535.3	883	21236.2
884	21535.3	884	21236.2
885	21535.3	885	21236.2
886	21535.3	886	21236.2
887	21535.3	887	21236.2
888	21535.2	888	21236.2
889	21535.2	889	21236.2
890	21535.2	890	21236.3
891	21535.2	891	21236.3
892	21535.2	892	21236.3
893	21535.2	893	21236.3
894	21535.2	894	21236.3
895	21535.2	895	21236.3
896	21535.2	896	21236.3
897	21535.2	897	21236.3
898	21535.2	898	21236.3
899	21535.2	899	21236.3
900	21535.2	900	21236.3
901	21535.2	901	21236.3
902	21535.1	902	21236.3
903	21535.1	903	21236.3
904	21535.1	904	21236.3
905	21535.1	905	21236.3
906	21535.1	906	21236.3
907	21535.1	907	21236.3
908	21535.1	908	21236.4
909	21535.1	909	21236.4
910	21535.1	910	21236.4
911	21535.1	911	21236.4
912	21535.1	912	21236.4
913	21535.1	913	21236.4
914	21535.1	914	21236.4
915	21535.1	915	21236.4
916	21535.1	916	21236.4
917	21535.1	917	21236.4
918	21535.1	918	21236.4
919	21535.1	919	21236.4
920	21535.1	920	21236.4
921	21535.1	921	21236.4
922	21535.1	922	21236.4
923	21535.1	923	21236.4
924	21535.1	924	21236.5
925	21535.1	925	21236.5
926	21535.1	926	21236.5
927	21535.1	927	21236.5
928	21535.1	928	21236.5
929	21535.1	929	21236.5
930	21535.1	930	21236.5
931	21535.1	931	21236.5
932	21535.1	932	21236.6
933	21535.1	933	21236.6
934	21535.1	934	21236.6
935	21535	935	21236.6
936	21535.1	936	21236.6
937	21535	937	21236.6
938	21535.1	938	21236.6
939	21535.1	939	21236.6
940	21535.1	940	21236.6
941	21535.1	941	21236.6
942	21535.1	942	21236.6
943	21535.1	943	21236.6
944	21535.1	944	21236.6
945	21535.1	945	21236.7
946	21535.1	946	21236.7
947	21535.1	947	21236.7
948	21535.1	948	21236.7
949	21535	949	21236.7
950	21535	950	21236.7
951	21535	951	21236.7
952	21535	952	21236.7
953	21535	953	21236.7
954	21535	954	21236.7
955	21535	955	21236.7
956	21535.1	956	21236.7
957	21535.1	957	21236.8
958	21535.1	958	21236.8
959	21535.1	959	21236.8
960	21535.1	960	21236.8
961	21535.1	961	21236.8
962	21535.1	962	21236.8
963	21535.1	963	21236.8
964	21535.1	964	21236.8
965	21535.1	965	21236.8
966	21535.1	966	21236.8
967	21535.1	967	21236.8
968	21535.1	968	21236.9
969	21535.1	969	21236.9
970	21535.1	970	21236.9
971	21535.1	971	21236.9
972	21535.1	972	21236.9
973	21535.1	973	21236.9
974	21535.1	974	21236.9
975	21535.1	975	21236.9
976	21535.1	976	21236.9
977	21535.1	977	21236.9
978	21535.1	978	21236.9
979	21535.1	979	21236.9
980	21535.1	980	21236.9
981	21535.1	981	21237
982	21535.1	982	21237
983	21535.1	983	21237
984	21535.1	984	21237
985	21535.1	985	21237
986	21535.1	986	21237
987	21535.1	987	21237
988	21535.1	988	21237
989	21535.1	989	21237
990	21535.1	990	21237.1
991	21535.1	991	21237.1
992	21535.1	992	21237.1
993	21535.1	993	21237.1
