Fc4_KU7+PEG_H4 [0.078]_X	Fc4_KU7+PEG_H4 [0.078]_Y	Fc4_KU7+PEG_H4 [0.156]_X	Fc4_KU7+PEG_H4 [0.156]_Y	Fc4_KU7+PEG_H4 [0.313]_X	Fc4_KU7+PEG_H4 [0.313]_Y	Fc4_KU7+PEG_H4 [0.625]_X	Fc4_KU7+PEG_H4 [0.625]_Y	Fc4_KU7+PEG_H4 [1.25]_X	Fc4_KU7+PEG_H4 [1.25]_Y	Fc4_KU7+PEG_H4 [2.5]_X	Fc4_KU7+PEG_H4 [2.5]_Y	Fc4_KU7+PEG_H4 [5]_X	Fc4_KU7+PEG_H4 [5]_Y	Fit on Fc4_KU7+PEG_H4 [0.078]_X	Fit on Fc4_KU7+PEG_H4 [0.078]_Y	Fit on Fc4_KU7+PEG_H4 [0.156]_X	Fit on Fc4_KU7+PEG_H4 [0.156]_Y	Fit on Fc4_KU7+PEG_H4 [0.313]_X	Fit on Fc4_KU7+PEG_H4 [0.313]_Y	Fit on Fc4_KU7+PEG_H4 [0.625]_X	Fit on Fc4_KU7+PEG_H4 [0.625]_Y	Fit on Fc4_KU7+PEG_H4 [1.25]_X	Fit on Fc4_KU7+PEG_H4 [1.25]_Y	Fit on Fc4_KU7+PEG_H4 [2.5]_X	Fit on Fc4_KU7+PEG_H4 [2.5]_Y	Fit on Fc4_KU7+PEG_H4 [5]_X	Fit on Fc4_KU7+PEG_H4 [5]_Y
-64.3	-0.3125	-64.3	-0.511719	-64.3	-0.609375	-64.3	-0.658203	-64.3	-0.791016	-64.3	-0.8125	-64.3	-1.00391	5.65659	6.64766	5.65659	9.04896	5.65659	16.9432	5.65659	29.141	5.65659	48.5889	5.65659	56.9238	5.65659	62.936
-64.2	-0.3125	-64.2	-0.511719	-64.2	-0.609375	-64.2	-0.658203	-64.2	-0.78125	-64.2	-0.8125	-64.2	-1.00391	7.21402	6.97047	7.21402	9.5265	7.21402	17.677	7.21402	30.293	7.21402	50.7844	7.21402	61.4212	7.21402	74.3698
-64.1	-0.3125	-64.1	-0.511719	-64.1	-0.609375	-64.1	-0.658203	-64.1	-0.78125	-64.1	-0.8125	-64.1	-1.00391	8.77145	7.29307	8.77145	10.0035	8.77145	18.4095	8.77145	31.441	8.77145	52.9654	8.77145	65.8605	8.77145	85.513
-64	-0.3125	-64	-0.511719	-64	-0.609375	-64	-0.658203	-64	-0.78125	-64	-0.8125	-64	-0.992188	10.3289	7.61545	10.3289	10.4801	10.3289	19.1406	10.3289	32.5851	10.3289	55.132	10.3289	70.2424	10.3289	96.3729
-63.9	-0.3125	-63.9	-0.5	-63.9	-0.599609	-63.9	-0.658203	-63.9	-0.78125	-63.9	-0.8125	-63.9	-0.992188	11.8863	7.93763	11.8863	10.9561	11.8863	19.8704	11.8863	33.7252	11.8863	57.2843	11.8863	74.5678	11.8863	106.957
-63.8	-0.324219	-63.8	-0.5	-63.8	-0.599609	-63.8	-0.658203	-63.8	-0.78125	-63.8	-0.8125	-63.8	-0.992188	13.4437	8.2596	13.4437	11.4317	13.4437	20.5988	13.4437	34.8614	13.4437	59.4223	13.4437	78.8372	13.4437	117.272
-63.7	-0.324219	-63.7	-0.5	-63.7	-0.599609	-63.7	-0.658203	-63.7	-0.78125	-63.7	-0.8125	-63.7	-0.992188	15.0012	8.58135	15.0012	11.9067	15.0012	21.3259	15.0012	35.9938	15.0012	61.5463	15.0012	83.0515	15.0012	127.324
-63.6	-0.324219	-63.6	-0.5	-63.6	-0.599609	-63.6	-0.658203	-63.6	-0.78125	-63.6	-0.8125	-63.6	-0.992188	16.5586	8.9029	16.5586	12.3813	16.5586	22.0516	16.5586	37.1222	16.5586	63.6562	16.5586	87.2114	16.5586	137.121
-63.5	-0.314453	-63.5	-0.490234	-63.5	-0.589844	-63.5	-0.648438	-63.5	-0.771484	-63.5	-0.802734	-63.5	-0.982422	18.116	9.22424	18.116	12.8553	18.116	22.776	18.116	38.2467	18.116	65.7522	18.116	91.3175	18.116	146.669
-63.4	-0.314453	-63.4	-0.501953	-63.4	-0.589844	-63.4	-0.648438	-63.4	-0.771484	-63.4	-0.802734	-63.4	-0.982422	19.6735	9.54536	19.6735	13.3288	19.6735	23.4991	19.6735	39.3674	19.6735	67.8344	19.6735	95.3706	19.6735	155.974
-63.3	-0.324219	-63.3	-0.5	-63.3	-0.599609	-63.3	-0.658203	-63.3	-0.78125	-63.3	-0.8125	-63.3	-0.992188	21.2309	9.86628	21.2309	13.8019	21.2309	24.2208	21.2309	40.4843	21.2309	69.9028	21.2309	99.3713	21.2309	165.043
-63.2	-0.314453	-63.2	-0.490234	-63.2	-0.589844	-63.2	-0.648438	-63.2	-0.761719	-63.2	-0.802734	-63.2	-0.982422	22.7883	10.187	22.7883	14.2745	22.7883	24.9412	22.7883	41.5973	22.7883	71.9575	22.7883	103.32	22.7883	173.881
-63.1	-0.324219	-63.1	-0.5	-63.1	-0.599609	-63.1	-0.658203	-63.1	-0.771484	-63.1	-0.8125	-63.1	-0.992188	24.3457	10.5075	24.3457	14.7465	24.3457	25.6603	24.3457	42.7065	24.3457	73.9987	24.3457	107.218	24.3457	182.495
-63	-0.324219	-63	-0.5	-63	-0.599609	-63	-0.658203	-63	-0.771484	-63	-0.8125	-63	-0.982422	25.9032	10.8278	25.9032	15.2181	25.9032	26.378	25.9032	43.8119	25.9032	76.0264	25.9032	111.066	25.9032	190.889
-62.9	-0.314453	-62.9	-0.490234	-62.9	-0.580078	-62.9	-0.648438	-62.9	-0.761719	-62.9	-0.792969	-62.9	-0.982422	27.4606	11.1479	27.4606	15.6891	27.4606	27.0944	27.4606	44.9135	27.4606	78.0407	27.4606	114.864	27.4606	199.07
-62.8	-0.314453	-62.8	-0.490234	-62.8	-0.580078	-62.8	-0.648438	-62.8	-0.761719	-62.8	-0.792969	-62.8	-0.972656	29.018	11.4677	29.018	16.1597	29.018	27.8095	29.018	46.0113	29.018	80.0417	29.018	118.613	29.018	207.043
-62.7	-0.314453	-62.7	-0.490234	-62.7	-0.580078	-62.7	-0.638672	-62.7	-0.771484	-62.7	-0.792969	-62.7	-0.972656	30.5755	11.7874	30.5755	16.6298	30.5755	28.5233	30.5755	47.1053	30.5755	82.0295	30.5755	122.313	30.5755	214.814
-62.6	-0.314453	-62.6	-0.490234	-62.6	-0.580078	-62.6	-0.638672	-62.6	-0.771484	-62.6	-0.792969	-62.6	-0.972656	32.1329	12.1068	32.1329	17.0994	32.1329	29.2358	32.1329	48.1956	32.1329	84.0041	32.1329	125.966	32.1329	222.387
-62.5	-0.314453	-62.5	-0.490234	-62.5	-0.580078	-62.5	-0.638672	-62.5	-0.771484	-62.5	-0.792969	-62.5	-0.972656	33.6903	12.4261	33.6903	17.5685	33.6903	29.9469	33.6903	49.2821	33.6903	85.9658	33.6903	129.572	33.6903	229.767
-62.4	-0.314453	-62.4	-0.490234	-62.4	-0.580078	-62.4	-0.638672	-62.4	-0.771484	-62.4	-0.792969	-62.4	-0.972656	35.2477	12.7451	35.2477	18.0371	35.2477	30.6567	35.2477	50.3649	35.2477	87.9144	35.2477	133.13	35.2477	236.96
-62.3	-0.314453	-62.3	-0.490234	-62.3	-0.570313	-62.3	-0.638672	-62.3	-0.771484	-62.3	-0.792969	-62.3	-0.962891	36.8052	13.064	36.8052	18.5052	36.8052	31.3652	36.8052	51.444	36.8052	89.8502	36.8052	136.643	36.8052	243.97
-62.2	-0.314453	-62.2	-0.490234	-62.2	-0.570313	-62.2	-0.638672	-62.2	-0.771484	-62.2	-0.783203	-62.2	-0.962891	38.3626	13.3826	38.3626	18.9728	38.3626	32.0725	38.3626	52.5194	38.3626	91.7732	38.3626	140.111	38.3626	250.802
-62.1	-0.314453	-62.1	-0.490234	-62.1	-0.580078	-62.1	-0.626953	-62.1	-0.771484	-62.1	-0.783203	-62.1	-0.962891	39.92	13.701	39.92	19.4399	39.92	32.7784	39.92	53.5911	39.92	93.6836	39.92	143.534	39.92	257.46
-62	-0.314453	-62	-0.490234	-62	-0.580078	-62	-0.626953	-62	-0.771484	-62	-0.783203	-62	-0.962891	41.4775	14.0192	41.4775	19.9065	41.4775	33.483	41.4775	54.6591	41.4775	95.5813	41.4775	146.912	41.4775	263.949
-61.9	-0.324219	-61.9	-0.490234	-61.9	-0.580078	-61.9	-0.626953	-61.9	-0.771484	-61.9	-0.783203	-61.9	-0.962891	43.0349	14.3372	43.0349	20.3727	43.0349	34.1863	43.0349	55.7234	43.0349	97.4664	43.0349	150.247	43.0349	270.273
-61.8	-0.314453	-61.8	-0.492188	-61.8	-0.570313	-61.8	-0.617188	-61.8	-0.761719	-61.8	-0.773438	-61.8	-0.953125	44.5923	14.655	44.5923	20.8383	44.5923	34.8883	44.5923	56.7841	44.5923	99.3392	44.5923	153.539	44.5923	276.436
-61.7	-0.314453	-61.7	-0.492188	-61.7	-0.570313	-61.7	-0.617188	-61.7	-0.761719	-61.7	-0.773438	-61.7	-0.953125	46.1497	14.9726	46.1497	21.3035	46.1497	35.589	46.1497	57.8412	46.1497	101.2	46.1497	156.788	46.1497	282.442
-61.6	-0.314453	-61.6	-0.492188	-61.6	-0.570313	-61.6	-0.617188	-61.6	-0.761719	-61.6	-0.773438	-61.6	-0.953125	47.7072	15.29	47.7072	21.7682	47.7072	36.2884	47.7072	58.8946	47.7072	103.048	47.7072	159.996	47.7072	288.296
